base_accuracy,base_status,condition,dataset_source,model,model_family,seed,task,threshold
0.46875,below,base,cais/mmlu,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,17,mmlu:college_biology,0.6
0.40625,below,base,Rowan/hellaswag,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,17,hellaswag,0.6
0.4791666666666667,below,base,cais/mmlu,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,29,mmlu:college_biology,0.6
0.3333333333333333,below,base,Rowan/hellaswag,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,29,hellaswag,0.6
0.46875,below,base,cais/mmlu,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,43,mmlu:college_biology,0.6
0.3125,below,base,Rowan/hellaswag,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,43,hellaswag,0.6
0.4895833333333333,below,base,allenai/ai2_arc,HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm2,43,arc_challenge,0.6
0.28125,below,base,cais/mmlu,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,17,mmlu:computer_security,0.6
0.21875,below,base,cais/mmlu,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,17,mmlu:college_biology,0.6
0.28125,below,base,allenai/sciq,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,17,sciq,0.6
0.21875,below,base,Rowan/hellaswag,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,17,hellaswag,0.6
0.20833333333333334,below,base,allenai/ai2_arc,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,17,arc_challenge,0.6
0.3229166666666667,below,base,cais/mmlu,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,29,mmlu:computer_security,0.6
0.22916666666666666,below,base,cais/mmlu,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,29,mmlu:college_biology,0.6
0.25,below,base,allenai/sciq,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,29,sciq,0.6
0.34375,below,base,Rowan/hellaswag,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,29,hellaswag,0.6
0.2708333333333333,below,base,allenai/ai2_arc,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,29,arc_challenge,0.6
0.28125,below,base,cais/mmlu,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,43,mmlu:computer_security,0.6
0.19791666666666666,below,base,cais/mmlu,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,43,mmlu:college_biology,0.6
0.23958333333333334,below,base,allenai/sciq,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,43,sciq,0.6
0.22916666666666666,below,base,Rowan/hellaswag,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,43,hellaswag,0.6
0.22916666666666666,below,base,allenai/ai2_arc,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,43,arc_challenge,0.6
